steamID/appID,steamid,appid,playtime_forever,genres
76561198048730871/17470,0,17470,23,"['Action', 'Single-player', 'Full controller support']"
76561198048730871/24740,0,24740,0,"['Racing', 'Single-player', 'Multi-player']"
76561198048730871/24800,0,24800,31,
76561198048730871/23490,0,23490,0,"['Simulation', 'Strategy', 'Single-player']"
76561198048730871/17410,0,17410,691,
76561198048730871/42910,0,42910,1981,"['Action', 'RPG', 'Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Leaderboards']"
76561198048730871/72850,0,72850,12146,"['RPG', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud']"
76561198048730871/108800,0,108800,0,"['Action', 'Single-player', 'Partial Controller Support']"
76561198048730871/211420,0,211420,101,"['Action', 'RPG', 'Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']"
76561198048730871/57690,0,57690,0,"['Simulation', 'Strategy', 'Single-player', 'Steam Trading Cards']"
76561198048730871/47790,0,47790,0,"['Action', 'Single-player', 'Multi-player']"
76561198048730871/47830,0,47830,0,"['Action', 'Single-player', 'Multi-player']"
76561198048730871/58520,0,58520,26,
76561198048730871/204560,0,204560,0,"['Action', 'RPG', 'Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Steam Cloud']"
76561198048730871/208730,0,208730,0,"['Action', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support']"
76561198048730871/209730,0,209730,0,
76561198048730871/219780,0,219780,0,"['RPG', 'Single-player']"
76561198048730871/231140,0,231140,0,"['Simulation', 'Single-player', 'Steam Cloud']"
76561198048730871/58610,0,58610,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Valve Anti-Cheat enabled']"
76561198048730871/205650,0,205650,0,"['Adventure', 'Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud']"
76561198048730871/550,0,550,0,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available']"
76561198048730871/223530,0,223530,0,
76561198048730871/224600,0,224600,5494,"['Action', 'Free to Play', 'Massively Multiplayer', 'RPG', 'Multi-player', 'MMO', 'Co-op', 'Steam Trading Cards', 'Partial Controller Support']"
76561198048730871/245620,0,245620,2226,"['RPG', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud', 'Includes level editor']"
76561198180821795/262060,1,262060,253,
76561198180821795/244160,1,244160,54,"['Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud']"
76561198180821795/437900,1,437900,5,"['Casual', 'Free to Play', 'Indie', 'Sports', 'Shared/Split Screen', 'Full controller support']"
76561198180821795/310380,1,310380,0,"['Action', 'Free to Play', 'Indie', 'Strategy', 'Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Steam Leaderboards']"
76561198008911412/4580,2,4580,0,
76561198008911412/9450,2,9450,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Cloud']"
76561198008911412/13200,2,13200,964,"['Action', 'Single-player']"
76561198008911412/13210,2,13210,1628,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']"
76561198008911412/13230,2,13230,146,"['Action', 'Single-player', 'Multi-player', 'Steam Trading Cards']"
76561198008911412/13240,2,13240,47,
76561198008911412/13250,2,13250,2,
76561198008911412/13520,2,13520,983,"['Action', 'Single-player']"
76561198008911412/19900,2,19900,1025,"['Action', 'Single-player', 'Multi-player']"
76561198008911412/10500,2,10500,9788,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Stats']"
76561198008911412/9480,2,9480,50,
76561198008911412/15620,2,15620,1142,
76561198008911412/21680,2,21680,0,
76561198008911412/21670,2,21670,0,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/4560,2,4560,0,
76561198008911412/9340,2,9340,0,
76561198008911412/20540,2,20540,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Cloud']"
76561198008911412/228200,2,228200,0,
76561198008911412/10180,2,10180,3821,
76561198008911412/10190,2,10190,60772,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/550,2,550,17211,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Includes Source SDK', 'Commentary available']"
76561198008911412/223530,2,223530,0,
76561198008911412/17450,2,17450,0,"['RPG', 'Single-player']"
76561198008911412/34030,2,34030,6809,
76561198008911412/8190,2,8190,69,
76561198008911412/24980,2,24980,0,"['RPG', 'Single-player']"
76561198008911412/40100,2,40100,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Stats', 'Steam Leaderboards']"
76561198008911412/43110,2,43110,1301,
76561198008911412/20570,2,20570,372,
76561198008911412/42120,2,42120,7352,
76561198008911412/33910,2,33910,78,"['Action', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Captions available', 'Partial Controller Support', 'Includes level editor']"
76561198008911412/33930,2,33930,10,"['Action', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Captions available', 'Partial Controller Support', 'Includes level editor']"
76561198008911412/219540,2,219540,1,
76561198008911412/8930,2,8930,0,"['Strategy', 'Single-player', 'Multi-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/42960,2,42960,35,
76561198008911412/35130,2,35130,0,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Shared/Split Screen', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/70900,2,70900,0,"['Indie', 'Strategy', 'Single-player', 'Multi-player']"
76561198008911412/50620,2,50620,1340,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']"
76561198008911412/462780,2,462780,0,"['Violent', 'Action', 'Adventure', 'RPG', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/1250,2,1250,21655,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor']"
76561198008911412/35420,2,35420,105,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Mods']"
76561198008911412/50300,2,50300,457,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/34330,2,34330,6368,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats']"
76561198008911412/56400,2,56400,643,"['Strategy', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/44340,2,44340,0,
76561198008911412/57900,2,57900,0,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/7610,2,7610,0,"['Strategy', 'Single-player', 'Multi-player']"
76561198008911412/7760,2,7760,0,"['Strategy', 'Single-player']"
76561198008911412/42160,2,42160,0,
76561198008911412/206980,2,206980,0,
76561198008911412/55150,2,55150,586,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Full controller support', 'Steam Leaderboards']"
76561198008911412/17710,2,17710,0,"['Action', 'Strategy', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Valve Anti-Cheat enabled', 'Stats', 'Steam Leaderboards', 'Includes level editor']"
76561198008911412/42680,2,42680,1279,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/42690,2,42690,63028,"['Action', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Cloud', 'Valve Anti-Cheat enabled']"
76561198008911412/67370,2,67370,0,"['Action', 'Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']"
76561198008911412/203770,2,203770,170,"['RPG', 'Simulation', 'Strategy', 'Single-player', 'Multi-player', 'Steam Trading Cards']"
76561198008911412/201700,2,201700,0,
76561198008911412/108710,2,108710,185,"['Action', 'Adventure', 'Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']"
76561198008911412/207170,2,207170,180,"['Adventure', 'Indie', 'RPG', 'Single-player', 'Steam Achievements', 'Steam Workshop', 'Includes level editor']"
76561198008911412/208670,2,208670,557,"['Action', 'Adventure', 'Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']"
76561198008911412/204100,2,204100,2986,"['Action', 'Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support']"
76561198008911412/12750,2,12750,0,
76561198008911412/11590,2,11590,0,
76561198008911412/12830,2,12830,17,"['Action', 'Single-player', 'Partial Controller Support']"
76561198008911412/12810,2,12810,0,
